Lib Caller, Lib Name
java.nio.CharBufferSpliterator_tryAdvance_java.util.function.IntConsumer.meth,java.util.function.IntConsumer_accept_int
java.util.AbstractCollection_add_java.lang.Object.meth,java.lang.UnsupportedOperationException_init
java.util.ArrayDeque_addLast_java.lang.Object.meth,java.lang.NullPointerException_init
java.util.ArrayDeque_removeLast.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque_getFirst.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque_getLast.meth,java.util.NoSuchElementException_init
java.util.ArrayDeque_delete_int.meth,java.util.ConcurrentModificationException_init
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_delete_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayDeque_clone.meth,java.lang.Object_native_clone
java.io.ObjectOutputStream_defaultWriteObject.meth,java.io.NotActiveException_init_java.lang.String
java.io.ObjectInputStream_defaultReadObject.meth,java.io.NotActiveException_init_java.lang.String
java.io.ObjectInputStream$BlockDataInputStream_setBlockDataMode_boolean.meth,java.lang.IllegalStateException_init_java.lang.String
java.io.ObjectInputStream$BlockDataInputStream_readInt.meth,java.io.ObjectInputStream$PeekInputStream_readFully_byte_arr_int_int
java.io.DataInputStream_readInt.meth,java.io.EOFException_init
java.util.ArrayDeque_readObject_java.io.ObjectInputStream.meth,sun.misc.SharedSecrets_getJavaOISAccess
java.util.ArrayDeque_readObject_java.io.ObjectInputStream.meth,sun.misc.JavaOISAccess_checkArray_java.io.ObjectInputStream_java.lang.Class_int
java.util.ArrayDeque$DeqIterator_remove.meth,java.lang.IllegalStateException_init
java.util.ArrayDeque$DeqIterator_forEachRemaining_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.ArrayDeque$DeqIterator_forEachRemaining_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.ArrayDeque$DeqSpliterator_forEachRemaining_java.util.function.Consumer.meth,java.lang.NullPointerException_init
java.util.ArrayDeque$DeqSpliterator_forEachRemaining_java.util.function.Consumer.meth,java.util.ConcurrentModificationException_init
java.util.ArrayDeque$DeqSpliterator_forEachRemaining_java.util.function.Consumer.meth,java.util.function.Consumer_accept_java.lang.Object
java.util.ArrayDeque$DescendingIterator_remove.meth,java.lang.IllegalStateException_init
java.util.ArrayList_init_int.meth,java.lang.IllegalArgumentException_init_java.lang.String
java.util.ArrayList_clone.meth,java.lang.Object_native_clone
java.util.ArrayList_rangeCheck_int.meth,java.lang.IndexOutOfBoundsException_init_java.lang.String
java.util.ArrayList_rangeCheckForAdd_int.meth,java.lang.IndexOutOfBoundsException_init_java.lang.String
java.util.ArrayList_add_int_java.lang.Object.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayList_remove_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayList_fastRemove_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.Arrays$ArrayList_toArray.meth,java.lang.Object_native_clone
java.util.AbstractList_add_int_java.lang.Object.meth,java.lang.UnsupportedOperationException_init
java.util.ArrayList_addAll_java.util.Collection.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayList_addAll_int_java.util.Collection.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayList_addAll_int_java.util.Collection.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
java.util.ArrayList_removeRange_int_int.meth,java.lang.System_native_arraycopy_java.lang.Object_int_java.lang.Object_int_int
